,index,0
0,"('the',)",14
1,"('billion',)",12
2,"('biden',)",10
3,"('tax',)",10
4,"('irs',)",6
5,"('student',)",6
6,"('say',)",6
7,"('show',)",6
8,"('joe',)",6
9,"('announced',)",6
10,"('new',)",6
11,"('attack',)",4
12,"('flood',)",4
13,"('federal',)",4
14,"('owe',)",4
15,"('debt',)",4
16,"('pay',)",4
17,"('voter',)",4
18,"('republican',)",4
19,"('another',)",4
20,"('6',)",4
21,"('jan',)",4
22,"('ballot',)",4
23,"('need',)",4
24,"('democrat',)",4
25,"('fbi',)",4
26,"('people',)",4
27,"('public',)",4
28,"('15',)",4
29,"('de',)",4
30,"('would',)",4
31,"('health',)",4
32,"('home',)",4
33,"('loan',)",4
34,"('in',)",4
35,"('anything',)",4
36,"('started',)",4
37,"('stop',)",4
38,"('woman',)",4
39,"('pfizerbiontech',)",4
40,"('vaccine',)",4
41,"('audit',)",4
42,"('million',)",4
43,"('covid19',)",4
44,"('away',)",4
45,"('zero',)",2
46,"('31',)",2
47,"('top',)",2
48,"('ukraine',)",2
49,"('former',)",2
50,"('yale',)",2
51,"('starbucks',)",2
52,"('president',)",2
53,"('going',)",2
54,"('endowment',)",2
55,"('call',)",2
56,"('54',)",2
57,"('harvard',)",2
58,"('fund',)",2
59,"('hedge',)",2
60,"('sitting',)",2
61,"('cashless',)",2
62,"('an',)",2
63,"('assassinate',)",2
64,"('threatened',)",2
65,"('vladimir',)",2
66,"('putin',)",2
67,"('anuncia',)",2
68,"('que',)",2
69,"('se',)",2
70,"('arrepiente',)",2
71,"('invadir',)",2
72,"('ucrania',)",2
73,"('uk',)",2
74,"('longer',)",2
75,"('recommending',)",2
76,"('mrna',)",2
77,"('pregnant',)",2
78,"('s',)",2
79,"('forgiveness',)",2
80,"('plan',)",2
81,"('bailout',)",2
82,"('rich',)",2
83,"('kid',)",2
84,"('29',)",2
85,"('obscure',)",2
86,"('filing',)",2
87,"('election',)",2
88,"('commission',)",2
89,"('formally',)",2
90,"('bid',)",2
91,"('term',)",2
92,"('stanford',)",2
93,"('bank',)",2
94,"('princeton',)",2
95,"('time',)",2
96,"('capitol',)",2
97,"('911',)",2
98,"('national',)",2
99,"('guard',)",2
100,"('activated',)",2
101,"('2021',)",2
102,"('complete',)",2
103,"('control',)",2
104,"('arizona',)",2
105,"('zone',)",2
106,"('fake',)",2
107,"('relief',)",2
108,"('taxable',)",2
109,"('internal',)",2
110,"('revenue',)",2
111,"('service',)",2
112,"('instagram',)",2
113,"('precise',)",2
114,"('location',)",2
115,"('feature',)",2
116,"('used',)",2
117,"('criminal',)",2
118,"('target',)",2
119,"('victim',)",2
120,"('moderna',)",2
121,"('lawsuit',)",2
122,"('work',)",2
123,"('investigating',)",2
124,"('spent',)",2
125,"('26',)",2
126,"('origin',)",2
127,"('nonpartisan',)",2
128,"('congressional',)",2
129,"('budget',)",2
130,"('office',)",2
131,"('supersized',)",2
132,"('staff',)",2
133,"('rate',)",2
134,"('rusia',)",2
135,"('all',)",2
136,"('taxpayer',)",2
137,"('regardless',)",2
138,"('income',)",2
139,"('even',)",2
140,"('result',)",2
141,"('innocent',)",2
142,"('american',)",2
143,"('paid',)",2
144,"('continent',)",2
145,"('may',)",2
146,"('exist',)",2
147,"('beneath',)",2
148,"('antarctica',)",2
149,"('also',)",2
150,"('homicidal',)",2
151,"('sea',)",2
152,"('creature',)",2
153,"('unknown',)",2
154,"('rise',)",2
155,"('fox',)",2
156,"('presidente',)",2
157,"('baby',)",2
158,"('disenfranchises',)",2
159,"('tim',)",2
160,"('michels',)",2
161,"('think',)",2
162,"('gay',)",2
163,"('three',)",2
164,"('church',)",2
165,"('targeted',)",2
166,"('arson',)",2
167,"('summer',)",2
168,"('protect',)",2
169,"('unborn',)",2
170,"('raphael',)",2
171,"('process',)",2
172,"('warnock',)",2
173,"('spending',)",2
174,"('urban',)",2
175,"('forestry',)",2
176,"('raising',)",2
177,"('making',)",2
178,"('200k',)",2
179,"('sixtyfour',)",2
180,"('member',)",2
181,"('congress',)",2
182,"('broken',)",2
183,"('law',)",2
184,"('exhaustion',)",2
185,"('convoluted',)",2
186,"('el',)",2
187,"('care',)",2
188,"('mortgage',)",2
189,"('program',)",2
190,"('firsttime',)",2
191,"('homebuyers',)",2
192,"('but',)",2
193,"('black',)",2
194,"('hispanic',)",2
195,"('eligible',)",2
196,"('mandela',)",2
197,"('barnes',)",2
198,"('support',)",2
199,"('stripping',)",2
200,"('gov',)",2
201,"('thanks',)",2
202,"('ron',)",2
203,"('desantis',)",2
204,"('raised',)",2
205,"('middle',)",2
206,"('class',)",2
207,"('giving',)",2
208,"('624',)",2
209,"('big',)",2
210,"('corporation',)",2
211,"('60',)",2
212,"('alaska',)",2
213,"('voted',)",2
214,"('insider',)",2
215,"('stock',)",2
216,"('trading',)",2
217,"('america',)",2
218,"('white',)",2
219,"('house',)",2
220,"('behind',)",2
221,"('entire',)",2
222,"('targeting',)",2
223,"('trump',)",2
224,"('lied',)",2
225,"('hiring',)",2
226,"('87000',)",2
227,"('agent',)",2
228,"('police',)",2
229,"('forgiven',)",2
230,"('news',)",2
231,"('yet',)",2
232,"('sought',)",2
233,"('legal',)",2
234,"('right',)",2
235,"('tell',)",2
236,"('lie',)",2
237,"('earth',)",2
238,"('spinning',)",2
239,"('faster',)",2
240,"('ever',)",2
241,"('scientist',)",2
242,"('gravely',)",2
243,"('concerned',)",2
244,"('prove',)",2
245,"('document',)",2
246,"('country',)",2
247,"('pouring',)",2
248,"('washington',)",2
249,"('refuse',)",2
250,"('york',)",2
251,"('identification',)",2
252,"('buy',)",2
253,"('whipped',)",2
254,"('cream',)",2
255,"('vote',)",2
256,"('waterfueled',)",2
257,"('car',)",2
258,"('travel',)",2
259,"('la',)",2
260,"('ny',)",2
261,"('22',)",2
262,"('gallon',)",2
263,"('order',)",2
264,"('title',)",2
265,"('42',)",2
266,"('last',)",2
267,"('tool',)",2
268,"('border',)",2
269,"('patrol',)",2
270,"('overwhelming',)",2
271,"('illegal',)",2
272,"('immigrant',)",2
273,"('pandemic',)",2
