,index,0
0,"('tesla', 's')",26
1,"('elon', 'musk')",20
2,"('model', 'y')",20
3,"('bigger', 'cell')",17
4,"('musk', 's')",12
5,"('s', 'goal')",12
6,"('pioneering', 'battery')",11
7,"('the', 'secret')",11
8,"('cell', 'new')",11
9,"('y', 'battery')",11
10,"('battery', 'technology')",11
11,"('secret', 'behind')",11
12,"('lie', 'pioneering')",11
13,"('2030', 'lie')",11
14,"('year', '2030')",11
15,"('million', 'tesla')",11
16,"('20', 'million')",11
17,"('selling', '20')",11
18,"('goal', 'selling')",11
19,"('behind', 'elon')",11
20,"('could', 'halve')",10
21,"('saving', '8')",10
22,"('battery', 'saving')",10
23,"('electric', 'vehicle')",10
24,"('cost', 'model')",10
25,"('halve', 'cost')",10
26,"('using', 'bigger')",10
27,"('tesla', 'could')",10
28,"('electrode', 'tesla')",10
29,"('drycoat', 'electrode')",10
30,"('process', 'drycoat')",10
31,"('new', 'process')",10
32,"('s', 'u')",10
33,"('news', 'using')",10
34,"('battery', 'expert')",10
35,"('good', 'news')",10
36,"('s', 'year')",10
37,"('car', 's')",10
38,"('4680', 'battery')",9
39,"('the', 'good')",9
40,"('technology', 'the')",9
41,"('8', 'car')",8
42,"('price', 'battery')",8
43,"('expert', 'tie')",8
44,"('tie', 'company')",8
45,"('company', 'said')",8
46,"('u', 'starting')",8
47,"('starting', 'price')",8
48,"('tesla', 'model')",8
49,"('said', 'the')",7
50,"('drycoating', 'technique')",7
51,"('expert', 'close')",7
52,"('cost', 'saving')",6
53,"('big', 'cost')",6
54,"('reuters', 'the')",6
55,"('the', 'bad')",6
56,"('tesla', 'familiar')",6
57,"('news', 's')",6
58,"('tesla', 'akan')",6
59,"('s', 'halfway')",6
60,"('halfway', 'according')",6
61,"('according', '12')",6
62,"('saving', 'kick')",6
63,"('12', 'expert')",6
64,"('bad', 'news')",6
65,"('familiar', 'new')",6
66,"('new', 'technology')",6
67,"('technique', 'used')",6
68,"('used', 'produce')",6
69,"('point', 'big')",6
70,"('cell', 'tesla')",6
71,"('s', '4680')",6
72,"('battery', 'new')",6
73,"('new', 'unproven')",6
74,"('unproven', 'company')",6
75,"('company', 'trouble')",6
76,"('manufacturing', 'point')",6
77,"('trouble', 'scaling')",6
78,"('scaling', 'manufacturing')",6
79,"('produce', 'bigger')",6
80,"('close', 'tesla')",6
81,"('microchip', 'tesla')",6
82,"('model', 's')",6
83,"('technology', 'that')",5
84,"('kick', 'expert')",5
85,"('tesla', 'inc')",5
86,"('told', 'reuters')",5
87,"('expert', 'told')",5
88,"('mobil', 'tesla')",5
89,"('model', 'x')",5
90,"('energy', 'storage')",4
91,"('s', 'drycoating')",4
92,"('price', 'target')",4
93,"('tesla', 'semi')",4
94,"('kekuatan', 'pemrosesan')",4
95,"('die', 'sie')",4
96,"('that', 's')",4
97,"('southeast', 'asia')",4
98,"('electric', 'car')",4
99,"('von', 'tesla')",4
100,"('ceo', 'elon')",4
101,"('september', '2022')",4
102,"('im', 'vergleich')",3
103,"('wolfe', 'research')",3
104,"('vergleich', 'zu')",3
105,"('zu', 'den')",3
106,"('getty', 'image')",3
107,"('mayor', 'ying')",3
108,"('ying', 'yong')",3
109,"('yong', 'attend')",3
110,"('shanghai', 's')",3
111,"('attend', 'opening')",3
112,"('opening', 'ceremony')",3
113,"('ceremony', 'tesla')",3
114,"('s', 'mayor')",3
115,"('louisiana', 'consumer')",3
116,"('musk', 'shanghai')",3
117,"('tax', 'credit')",3
118,"('inc', 'ceo')",3
119,"('von', 'einem')",3
120,"('y', 'program')",3
121,"('na', 'ifa')",3
122,"('va', 'construi')",3
123,"('the', 'company')",3
124,"('home', 'battery')",3
125,"('tesla', 'energy')",3
126,"('world', 's')",3
127,"('car', 'manufacturer')",3
128,"('via', 'getty')",3
129,"('legacy', 'automaker')",3
130,"('ist', 'fur')",3
131,"('chinamade', 'model')",3
132,"('fur', 'anleger')",3
133,"('program', 'shanghai')",3
134,"('tesla', 'powerwall')",3
135,"('stock', 'exchange')",3
136,"('company', 's')",3
137,"('de', 'echipamente')",3
138,"('type', '2')",3
139,"('reuters', 'tesla')",3
140,"('by', 'norihiko')",3
141,"('die', 'teslaaktie')",3
142,"('blackout', 'protection')",3
143,"('thailand', 'tesla')",3
144,"('model', '3')",3
145,"('paul', 'lienert')",3
146,"('norihiko', 'shirouzu')",3
147,"('shirouzu', 'paul')",3
148,"('sieben', 'oder')",2
149,"('nicht', 'nur')",2
150,"('hat', 'seine')",2
151,"('seine', 'aktien')",2
152,"('aktien', 'gesplittet')",2
153,"('gesplittet', 'doch')",2
154,"('otak', 'manusia')",2
155,"('manusia', '1')",2
156,"('kuadriliun', 'operasi')",2
157,"('1', 'kuadriliun')",2
158,"('11', 'tahun')",2
159,"('the', 'board')",2
160,"('operasi', 'per')",2
161,"('per', 'detik')",2
162,"('tout', 'juste')",2
163,"('doch', 'welche')",2
164,"('hong', 'kong')",2
