,index,0
0,"('tesla', 's')",10
1,"('s', 'battery')",9
2,"('musk', 's')",9
3,"('s', 'drive')",9
4,"('inside', 'tesla')",9
5,"('battery', 'promise')",9
6,"('keep', 'musk')",8
7,"('drive', 'keep')",8
8,"('promise', 'tesla')",7
9,"('tesla', 'model')",3
10,"('tesla', 'stock')",3
11,"('elon', 'musk')",3
12,"('model', 'y')",3
13,"('otak', 'manusia')",2
14,"('launch', 'thailand')",2
15,"('pintar', 'dari')",2
16,"('lebih', 'pintar')",2
17,"('tesla', 'lebih')",2
18,"('microchip', 'tesla')",2
19,"('market', 'tesla')",2
20,"('tesla', 'could')",2
21,"('aktien', 'tesla')",2
22,"('tesla', 'gesamte')",2
23,"('job', 'opening')",2
24,"('coming', 'soon')",2
25,"('autobranche', 'uberflugeln')",2
26,"('dari', 'otak')",2
27,"('gesamte', 'autobranche')",2
28,"('tesla', 'vehicle')",2
29,"('watch', 'tesla')",2
30,"('tax', 'credit')",2
31,"('new', 'tax')",2
32,"('bei', 'tesla')",2
33,"('vehicle', 'production')",2
34,"('coming', 'say')",1
35,"('availability', 'inside')",1
36,"('keep', 'elon')",1
37,"('tesla', 'inside')",1
38,"('increasing', 'powerwall')",1
39,"('powerwall', 'availability')",1
40,"('x', 'fiyat')",1
41,"('model', 'x')",1
42,"('finally', 'increasing')",1
43,"('fiyat', 'listesi')",1
44,"('apple', 'inside')",1
45,"('come', 'apple')",1
46,"('could', 'come')",1
47,"('listesi', 'ozellikleri')",1
48,"('threat', 'tesla')",1
49,"('could', 'cut')",1
50,"('cut', '5500')",1
51,"('tesla', 'finally')",1
52,"('to', 'keep')",1
53,"('alle', 'eautomodelle')",1
54,"('eautomodelle', 'sind')",1
55,"('sind', 'betroffen')",1
56,"('betroffen', 'elon')",1
57,"('musk', 'hint')",1
58,"('tesla', 'sue')",1
59,"('promise', 'inside')",1
60,"('hint', 'tesla')",1
61,"('ozellikleri', 'tesla')",1
62,"('drive', 'to')",1
63,"('say', 'inside')",1
64,"('expert', 'say')",1
65,"('cost', 'expert')",1
66,"('battery', 'cost')",1
67,"('y', 'battery')",1
68,"('5500', 'model')",1
69,"('biggest', 'threat')",1
70,"('bangkok', 'the')",1
71,"('the', 'biggest')",1
72,"('tesla', 'zahlen')",1
73,"('laune', '1')",1
74,"('gute', 'laune')",1
75,"('fur', 'gute')",1
76,"('sorgen', 'fur')",1
77,"('china', 'sorgen')",1
78,"('au', 'china')",1
79,"('zahlen', 'au')",1
80,"('s', 'tesla')",1
81,"('stocksplit', 'stock')",1
82,"('promising', 's')",1
83,"('technology', 'promising')",1
84,"('battery', 'technology')",1
85,"('credit', 'coming')",1
86,"('latest', 'battery')",1
87,"('s', 'latest')",1
88,"('analyst', 'inside')",1
89,"('1', 'stocksplit')",1
90,"('stock', 'set')",1
91,"('say', 'analyst')",1
92,"('low', 'according')",1
93,"('drive', 'bangkok')",1
94,"('recruitment', 'drive')",1
95,"('launch', 'recruitment')",1
96,"('tesla', 'launch')",1
97,"('wood', 'tesla')",1
98,"('cathie', 'wood')",1
99,"('according', 'cathie')",1
100,"('52week', 'low')",1
101,"('set', 'soar')",1
102,"('it', '52week')",1
103,"('from', 'it')",1
104,"('stock', 'buy')",1
105,"('buy', 'with')",1
106,"('with', 'new')",1
107,"('641', 'from')",1
108,"('soar', '641')",1
109,"('tesla', 'preowned')",1
110,"('dealer', 'association')",1
111,"('sue', 'louisiana')",1
112,"('querlenker', 'fur')",1
113,"('schockiert', 'mit')",1
114,"('tesla', 'schockiert')",1
115,"('foto', 'tesla')",1
116,"('y', 'foto')",1
117,"('und', 'model')",1
118,"('3', 'und')",1
119,"('model', '3')",1
120,"('fur', 'tesla')",1
121,"('verbesserten', 'querlenker')",1
122,"('unglaublichen', 'news')",1
123,"('prasentiert', 'verbesserten')",1
124,"('meyle', 'prasentiert')",1
125,"('automechanikaneuheit', 'meyle')",1
126,"('quietschproblem', 'automechanikaneuheit')",1
127,"('tesla', 'quietschproblem')",1
128,"('losen', 'tesla')",1
129,"('ingenieure', 'losen')",1
130,"('meyle', 'ingenieure')",1
131,"('mit', 'unglaublichen')",1
132,"('news', 'da')",1
133,"('say', 'aktien')",1
134,"('fabrica', 'de')",1
135,"('milioane', 'de')",1
136,"('90', 'milioane')",1
137,"('depaseste', '90')",1
138,"('investitia', 'depaseste')",1
139,"('romania', 'investitia')",1
140,"('in', 'romania')",1
141,"('baterii', 'in')",1
142,"('de', 'baterii')",1
143,"('construieste', 'fabrica')",1
144,"('da', 'ist')",1
145,"('tesla', 'construieste')",1
146,"('wichtig', 'tesla')",1
147,"('besonders', 'wichtig')",1
148,"('ganz', 'besonders')",1
149,"('heute', 'ganz')",1
150,"('anleger', 'heute')",1
151,"('fur', 'anleger')",1
152,"('ist', 'fur')",1
153,"('uberflugeln', 'meyle')",1
154,"('wolfe', 'say')",1
155,"('louisiana', 'automobile')",1
156,"('let', 'worker')",1
157,"('tesla', 'zum')",1
158,"('thai', 'market')",1
159,"('enter', 'thai')",1
160,"('tesla', 'enter')",1
161,"('clothing', 'inside')",1
162,"('union', 'clothing')",1
163,"('wear', 'union')",1
164,"('worker', 'wear')",1
165,"('must', 'let')",1
166,"('wochenstart', 'mit')",1
167,"('tesla', 'must')",1
168,"('rule', 'tesla')",1
169,"('board', 'rule')",1
170,"('labor', 'board')",1
171,"('promise', 'labor')",1
172,"('association', 'inside')",1
173,"('ruckruf', 'bei')",1
174,"('automobile', 'dealer')",1
175,"('zum', 'wochenstart')",1
176,"('mit', 'dieser')",1
177,"('act', 'wolfe')",1
178,"('thailand', 'with')",1
179,"('reduction', 'act')",1
180,"('inflation', 'reduction')",1
181,"('beneficiary', 'inflation')",1
182,"('big', 'beneficiary')",1
183,"('is', 'big')",1
184,"('tesla', 'is')",1
185,"('opening', 'tesla')",1
186,"('with', 'job')",1
187,"('signal', 'launch')",1
188,"('dieser', 'meldung')",1
189,"('tesla', 'signal')",1
190,"('lesen', 'tesla')",1
191,"('jetzt', 'lesen')",1
192,"('gerechnet', 'jetzt')",1
193,"('niemand', 'gerechnet')",1
194,"('heute', 'niemand')",1
195,"('hat', 'heute')",1
196,"('meldung', 'hat')",1
197,"('tesla', 'alle')",1
198,"('promociju', 'tesla')",1
199,"('groer', 'ruckruf')",1
200,"('doe', 'nt')",1
201,"('moody', 's')",1
202,"('say', 'moody')",1
203,"('report', 'say')",1
204,"('production', 'report')",1
205,"('cell', 'production')",1
206,"('battery', 'cell')",1
207,"('4680', 'battery')",1
208,"('ramping', '4680')",1
209,"('issue', 'ramping')",1
210,"('still', 'issue')",1
211,"('tesla', 'still')",1
212,"('soon', 'tesla')",1
213,"('but', 'coming')",1
214,"('low', 'but')",1
215,"('supply', 'low')",1
216,"('bundle', 'supply')",1
217,"('solar', 'bundle')",1
218,"('s', 'doe')",1
219,"('nt', 'want')",1
220,"('la', 'rentree')",1
221,"('want', 'to')",1
222,"('affaire', 'de')",1
223,"('bonne', 'affaire')",1
224,"('la', 'bonne')",1
225,"('estelle', 'la')",1
226,"('propulsion', 'estelle')",1
227,"('y', 'propulsion')",1
228,"('nouvelle', 'tesla')",1
229,"('la', 'nouvelle')",1
230,"('manusia', 'la')",1
231,"('diperkirakan', 'microchip')",1
232,"('happens', 'diperkirakan')",1
233,"('this', 'happens')",1
234,"('until', 'this')",1
235,"('debt', 'until')",1
236,"('tesla', 'debt')",1
237,"('upgrade', 'tesla')",1
238,"('to', 'upgrade')",1
239,"('available', 'solar')",1
240,"('only', 'available')",1
241,"('powerwall', 'only')",1
242,"('tesla', 'powerwall')",1
243,"('tesla', 'da')",1
244,"('verkaufsalarm', 'bei')",1
245,"('eu', 'verkaufsalarm')",1
246,"('the', 'eu')",1
247,"('across', 'the')",1
248,"('stock', 'across')",1
249,"('googled', 'stock')",1
250,"('most', 'googled')",1
251,"('the', 'most')",1
252,"('a', 'the')",1
253,"('revealed', 'a')",1
254,"('tesla', 'revealed')",1
255,"('over', 'tesla')",1
256,"('lawsuit', 'over')",1
257,"('action', 'lawsuit')",1
258,"('class', 'action')",1
259,"('warranty', 'class')",1
260,"('da', 'sagt')",1
261,"('sagt', 'der')",1
262,"('der', 'chart')",1
263,"('spree', 'watch')",1
264,"('musk', 'tesla')",1
265,"('3d', 'elon')",1
266,"('in', '3d')",1
267,"('visualized', 'in')",1
268,"('delivery', 'visualized')",1
269,"('and', 'delivery')",1
270,"('production', 'and')",1
271,"('hiring', 'spree')",1
272,"('chart', 'watch')",1
273,"('thailand', 'hiring')",1
274,"('prepares', 'launch')",1
275,"('tesla', 'prepares')",1
276,"('3d', 'tesla')",1
277,"('visualised', '3d')",1
278,"('delivery', 'visualised')",1
279,"('production', 'delivery')",1
280,"('de', 'la')",1
281,"('rentree', 'edan')",1
282,"('say', 'groer')",1
283,"('berlinu', 'srpska')",1
284,"('ureaji', 'u')",1
285,"('tesla', 'ureaji')",1
286,"('novi', 'tesla')",1
287,"('otkriveni', 'novi')",1
288,"('launch', 'otkriveni')",1
289,"('ev', 'launch')",1
290,"('preparation', 'ev')",1
291,"('thailand', 'preparation')",1
292,"('hiring', 'thailand')",1
293,"('increase', 'hiring')",1
294,"('tesla', 'increase')",1
295,"('investingcom', 'tesla')",1
