,index,0
0,"('the', 'ring', 'power')",6
1,"('the', 'lord', 'ring')",5
2,"('ceo', 'elon', 'musk')",5
3,"('2022', 'globe', 'newswire')",5
4,"('05', '2022', 'globe')",5
5,"('sept', '05', '2022')",5
6,"('char', 'elon', 'musk')",5
7,"('added', 'researchandmarketscom', 's')",4
8,"('tesla', 'ceo', 'elon')",4
9,"('researchandmarketscom', 's', 'offering')",4
10,"('ring', 'the', 'ring')",4
11,"('lord', 'ring', 'the')",4
12,"('report', 'added', 'researchandmarketscom')",4
13,"('dublin', 'sept', '05')",3
14,"('via', 'getty', 'image')",3
15,"('however', 'month', 'go')",3
16,"('globe', 'newswire', 'the')",3
17,"('elon', 'musk', 's')",3
18,"('the', 'u', 'electric')",3
19,"('amid', 'continuous', 'noise')",3
20,"('inflation', 'reduction', 'act')",3
21,"('matter', 'however', 'month')",3
22,"('the', 'good', 'news')",3
23,"('business', 'wire', 'the')",3
24,"('go', 'plan', 'energyhungry')",3
25,"('plan', 'energyhungry', 'digital')",3
26,"('energyhungry', 'digital', 'sector')",3
27,"('u', 'electric', 'vehicle')",3
28,"('really', 'matter', 'however')",3
29,"('pick', 'really', 'matter')",3
30,"('month', 'go', 'plan')",3
31,"('hard', 'pick', 'really')",3
32,"('often', 'hard', 'pick')",3
33,"('global', 'ultracapacitors', 'market')",3
34,"('continuous', 'noise', 'cryptocurrencies')",3
35,"('20', 'million', 'tesla')",2
36,"('million', 'tesla', 's')",2
37,"('selling', '20', 'million')",2
38,"('s', 'goal', 'selling')",2
39,"('2030', 'lie', 'pioneering')",2
40,"('lie', 'pioneering', 'battery')",2
41,"('tesla', 's', 'year')",2
42,"('s', 'year', '2030')",2
43,"('year', '2030', 'lie')",2
44,"('goal', 'selling', '20')",2
45,"('firing', 'demand', 'worker')",2
46,"('musk', 's', 'goal')",2
47,"('behind', 'elon', 'musk')",2
48,"('secret', 'behind', 'elon')",2
49,"('the', 'secret', 'behind')",2
50,"('hiring', 'firing', 'demand')",2
51,"('battery', 'technology', 'the')",2
52,"('demand', 'worker', 'roared')",2
53,"('worker', 'roared', 'back')",2
54,"('roared', 'back', 'past')",2
55,"('back', 'past', 'two')",2
56,"('past', 'two', 'year')",2
57,"('sector', 'undergo', 'biggest')",2
58,"('digital', 'sector', 'undergo')",2
59,"('pioneering', 'battery', 'technology')",2
60,"('cell', 'new', 'process')",2
61,"('technology', 'the', 'good')",2
62,"('1', 'dont', 'disingenuous')",2
63,"('money', '1', 'dont')",2
64,"('important', 'money', '1')",2
65,"('actually', 'important', 'money')",2
66,"('editorial', 'via', 'getty')",2
67,"('electric', 'vehicle', 'fluid')",2
68,"('vehicle', 'fluid', 'market')",2
69,"('fluid', 'market', 'industry')",2
70,"('market', 'industry', 'outlook')",2
71,"('industry', 'outlook', 'amp')",2
72,"('outlook', 'amp', 'forecast')",2
73,"('amp', 'forecast', '20222027')",2
74,"('forecast', '20222027', 'report')",2
75,"('20222027', 'report', 'added')",2
76,"('s', 'offering', 'the')",2
77,"('offering', 'the', 'u')",2
78,"('clout', 'actually', 'important')",2
79,"('perhaps', 'clout', 'actually')",2
80,"('amass', 'perhaps', 'clout')",2
81,"('ball', 'amass', 'perhaps')",2
82,"('elon', 'musk', 'added')",2
83,"('i', 'report', 'added')",2
84,"('company', 'hiring', 'firing')",2
85,"('2022', 'i', 'report')",2
86,"('should', 'company', 'hiring')",2
87,"('char', 'should', 'company')",2
88,"('key', 'funding', 'volkswagens')",2
89,"('first', 'simple', 'thought')",2
90,"('the', 'first', 'simple')",2
91,"('disingenuous', 'the', 'first')",2
92,"('char', 'dublin', 'sept')",2
93,"('dont', 'disingenuous', 'the')",2
94,"('the', 'autonomous', 'driving')",2
95,"('autonomous', 'driving', 'cockpit')",2
96,"('driving', 'cockpit', 'domain')",2
97,"('cockpit', 'domain', 'control')",2
98,"('domain', 'control', 'unit')",2
99,"('control', 'unit', 'dcu')",2
100,"('series', 'the', 'ring')",2
101,"('unit', 'dcu', 'industry')",2
102,"('dcu', 'industry', 'report')",2
103,"('industry', 'report', '2022')",2
104,"('report', '2022', 'i')",2
105,"('funding', 'volkswagens', '52bn')",2
106,"('clout', 'ball', 'amass')",2
107,"('good', 'news', 'using')",2
108,"('char', 'dublin', 'business')",2
109,"('that', 'mean', 'many')",2
110,"('mean', 'many', 'firm')",2
111,"('many', 'firm', 'need')",2
112,"('firm', 'need', 'hire')",2
113,"('elon', 'musk', 'said')",2
114,"('dublin', 'business', 'wire')",2
115,"('spacex', 'ceo', 'elon')",2
116,"('shortage', 'pervasive', 'that')",2
117,"('series', 'the', 'lord')",2
118,"('author', 'jrr', 'tolkien')",2
119,"('jrr', 'tolkien', 'turning')",2
120,"('news', 'using', 'bigger')",2
121,"('electric', 'vehicle', 'market')",2
122,"('stock', 'cathie', 'wood')",2
123,"('pervasive', 'that', 'mean')",2
124,"('cathie', 'wood', 'loading')",2
125,"('pace', 'shortage', 'pervasive')",2
126,"('char', 'amid', 'continuous')",2
127,"('cryptocurrencies', 's', 'often')",2
128,"('kept', 'pace', 'shortage')",2
129,"('bigger', 'cell', 'new')",2
130,"('s', 'often', 'hard')",2
131,"('using', 'bigger', 'cell')",2
132,"('noise', 'cryptocurrencies', 's')",2
133,"('two', 'year', 'but')",2
134,"('year', 'but', 'labour')",2
135,"('but', 'labour', 'supply')",2
136,"('labour', 'supply', 'kept')",2
137,"('supply', 'kept', 'pace')",2
138,"('new', 'process', 'drycoat')",2
139,"('3172', 'char', 'many')",1
140,"('the', '3172', 'char')",1
141,"('ban', 'the', '3172')",1
142,"('would', 'ban', 'the')",1
143,"('announced', 'would', 'ban')",1
144,"('california', 'announced', 'would')",1
145,"('ago', 'california', 'announced')",1
146,"('week', 'ago', 'california')",1
147,"('resear', '6291', 'char')",1
148,"('a', 'week', 'ago')",1
149,"('vehicle', 'mandate', 'something')",1
150,"('scam', 'a', 'week')",1
151,"('something', 'scam', 'a')",1
152,"('mandate', 'something', 'scam')",1
153,"('electric', 'vehicle', 'mandate')",1
154,"('american', 'electric', 'vehicle')",1
155,"('middleclass', 'american', 'electric')",1
156,"('obvious', 'middleclass', 'american')",1
157,"('something', 'obvious', 'middleclass')",1
158,"('prove', 'something', 'obvious')",1
159,"('overtime', 'prove', 'something')",1
160,"('char', 'many', 'christian')",1
161,"('california', 'working', 'overtime')",1
162,"('char', 'california', 'working')",1
163,"('6291', 'char', 'california')",1
164,"('working', 'overtime', 'prove')",1
165,"('sin', 'though', 'nothing')",1
166,"('many', 'christian', 'treat')",1
167,"('nothing', 'could', 'truth')",1
168,"('offering', 'buy', 'dealer')",1
169,"('sale', '2030', 'photo')",1
170,"('evonly', 'sale', '2030')",1
171,"('shifting', 'evonly', 'sale')",1
172,"('brand', 'shifting', 'evonly')",1
173,"('the', 'brand', 'shifting')",1
174,"('char', 'the', 'brand')",1
175,"('7971', 'char', 'the')",1
176,"('y', '7971', 'char')",1
177,"('back', 'y', '7971')",1
178,"('think', 'back', 'y')",1
179,"('if', 'think', 'back')",1
180,"('truth', 'if', 'think')",1
181,"('could', 'truth', 'if')",1
182,"('2030', 'photo', 'buick')",1
183,"('christian', 'treat', 'sexual')",1
184,"('wrong', 'nothing', 'could')",1
185,"('nothing', 'wrong', 'nothing')",1
186,"('though', 'nothing', 'wrong')",1
187,"('photo', 'buick', 'buick')",1
188,"('buick', 'buick', 'offering')",1
189,"('buick', 'offering', 'buy')",1
190,"('sexual', 'sin', 'though')",1
191,"('gossip', 'sexual', 'sin')",1
192,"('sin', 'gossip', 'sexual')",1
193,"('worst', 'sin', 'gossip')",1
194,"('like', 'worst', 'sin')",1
195,"('sin', 'like', 'worst')",1
196,"('sexual', 'sin', 'like')",1
197,"('treat', 'sexual', 'sin')",1
198,"('electric', 'vehicle', 'owner')",1
199,"('thesis', 'aurora', 'innovation')",1
200,"('buy', 'dealer', 'dont')",1
201,"('european', '24483', 'char')",1
202,"('reason', 'i', 'nt')",1
203,"('simple', 'reason', 'i')",1
204,"('one', 'simple', 'reason')",1
205,"('year', 'one', 'simple')",1
206,"('producer', 'year', 'one')",1
207,"('automotive', 'producer', 'year')",1
208,"('covered', 'automotive', 'producer')",1
209,"('nt', 'covered', 'automotive')",1
210,"('i', 'nt', 'covered')",1
211,"('introduction', 'i', 'nt')",1
212,"('pugliano', 'introduction', 'i')",1
213,"('bill', 'pugliano', 'introduction')",1
214,"('char', 'bill', 'pugliano')",1
215,"('24483', 'char', 'bill')",1
216,"('maybe', 'european', '24483')",1
217,"('dealer', 'dont', 'want')",1
218,"('g7', 'maybe', 'european')",1
219,"('proposed', 'g7', 'maybe')",1
220,"('cap', 'proposed', 'g7')",1
221,"('price', 'cap', 'proposed')",1
222,"('oil', 'price', 'cap')",1
223,"('potential', 'oil', 'price')",1
224,"('response', 'potential', 'oil')",1
225,"('perhaps', 'response', 'potential')",1
226,"('pipeline', 'perhaps', 'response')",1
227,"('1', 'pipeline', 'perhaps')",1
228,"('nordstream', '1', 'pipeline')",1
229,"('europe', 'nordstream', '1')",1
230,"('flow', 'europe', 'nordstream')",1
231,"('gas', 'flow', 'europe')",1
232,"('i', 'nt', 'fan')",1
233,"('nt', 'fan', 'industry')",1
234,"('fan', 'industry', 'that')",1
235,"('industry', 'that', 'changed')",1
236,"('forest', 'fire', 'covid')",1
237,"('drought', 'forest', 'fire')",1
238,"('wave', 'drought', 'forest')",1
239,"('heat', 'wave', 'drought')",1
240,"('beset', 'heat', 'wave')",1
241,"('already', 'beset', 'heat')",1
242,"('china', 'already', 'beset')",1
243,"('part', 'china', 'already')",1
244,"('testing', 'part', 'china')",1
245,"('monday', 'testing', 'part')",1
246,"('province', 'monday', 'testing')",1
247,"('sichuan', 'province', 'monday')",1
248,"('china', 'sichuan', 'province')",1
249,"('struck', 'china', 'sichuan')",1
250,"('magnitude', 'struck', 'china')",1
251,"('68', 'magnitude', 'struck')",1
252,"('measuring', '68', 'magnitude')",1
253,"('earthquake', 'measuring', '68')",1
254,"('an', 'earthquake', 'measuring')",1
255,"('char', 'an', 'earthquake')",1
256,"('15092', 'char', 'an')",1
257,"('fro', '15092', 'char')",1
258,"('away', 'fro', '15092')",1
259,"('shifting', 'away', 'fro')",1
260,"('industry', 'shifting', 'away')",1
261,"('entire', 'industry', 'shifting')",1
262,"('bit', 'entire', 'industry')",1
263,"('changed', 'bit', 'entire')",1
264,"('that', 'changed', 'bit')",1
265,"('suspension', 'gas', 'flow')",1
266,"('indefinite', 'suspension', 'gas')",1
267,"('announced', 'indefinite', 'suspension')",1
268,"('apple', 'aapl', 'microsoft')",1
269,"('memo', 'hinted', 'apple')",1
270,"('companyinternal', 'memo', 'hinted')",1
271,"('september', 'companyinternal', 'memo')",1
272,"('2nd', 'september', 'companyinternal')",1
273,"('friday', '2nd', 'september')",1
274,"('25', 'friday', '2nd')",1
275,"('much', '25', 'friday')",1
276,"('surged', 'much', '25')",1
277,"('stock', 'surged', 'much')",1
278,"('aur', 'stock', 'surged')",1
279,"('nasdaq', 'aur', 'stock')",1
280,"('innovation', 'nasdaq', 'aur')",1
281,"('aurora', 'innovation', 'nasdaq')",1
282,"('domain', 'controller', 'resear')",1
283,"('gorodenkoff', 'thesis', 'aurora')",1
284,"('char', 'gorodenkoff', 'thesis')",1
285,"('2629', 'char', 'gorodenkoff')",1
286,"('jou', '2629', 'char')",1
287,"('street', 'jou', '2629')",1
288,"('wall', 'street', 'jou')",1
289,"('the', 'wall', 'street')",1
290,"('vehicle', 'the', 'wall')",1
291,"('electric', 'vehicle', 'the')",1
292,"('upgrade', 'electric', 'vehicle')",1
293,"('investment', 'upgrade', 'electric')",1
294,"('necessary', 'investment', 'upgrade')",1
295,"('make', 'necessary', 'investment')",1
296,"('want', 'make', 'necessary')",1
297,"('dont', 'want', 'make')",1
298,"('hinted', 'apple', 'aapl')",1
299,"('aapl', 'microsoft', 'msft')",1
300,"('russia', 'announced', 'indefinite')",1
301,"('microsoft', 'msft', 'potential')",1
302,"('onurdongel', 'russia', 'announced')",1
303,"('char', 'onurdongel', 'russia')",1
304,"('12879', 'char', 'onurdongel')",1
305,"('b', '12879', 'char')",1
306,"('viewership', 'b', '12879')",1
307,"('american', 'viewership', 'b')",1
308,"('while', 'american', 'viewership')",1
309,"('france', 'while', 'american')",1
310,"('de', 'france', 'while')",1
311,"('tour', 'de', 'france')",1
312,"('2022', 'tour', 'de')",1
313,"('sponsor', '2022', 'tour')",1
314,"('investable', 'sponsor', '2022')",1
315,"('summary', 'investable', 'sponsor')",1
316,"('compiled', 'summary', 'investable')",1
